bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,latency,noise,message
0.9375,0,0.5,1.0,1,1.0,0.00042891502380371094,0.0,06
1.0,1,1.0,0.875,0,0.5,0.0004322528839111328,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00042247772216796875,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0005550384521484375,0.0,23
0.8125,0,0.0,0.8125,0,0.0,0.0005784034729003906,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.00045990943908691406,0.0,06
0.875,0,0.0,0.875,0,0.0,0.0004246234893798828,0.0,42
0.9375,0,0.5,0.8125,0,0.0,0.0004322528839111328,0.0,15
0.875,0,0.5,0.875,0,0.5,0.0004925727844238281,0.0,23
1.0,1,1.0,0.875,0,0.5,0.0004353523254394531,0.0,14
0.875,0,0.0,0.8125,0,0.5,0.0004248619079589844,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004200935363769531,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00042247772216796875,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00042557716369628906,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0004258155822753906,0.0,14
0.9375,0,0.5,0.875,0,0.5,0.0004291534423828125,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042629241943359375,0.0,42
0.875,0,0.5,0.8125,0,0.0,0.0004279613494873047,0.0,15
1.0,1,1.0,0.875,0,0.5,0.00043010711669921875,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004296302795410156,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.0004291534423828125,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00041937828063964844,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004286766052246094,0.0,15
0.9375,0,0.5,0.9375,0,0.5,0.0004284381866455078,0.0,23
0.9375,0,0.5,0.8125,0,0.5,0.0004608631134033203,0.0,14
0.9375,0,0.5,0.75,0,0.0,0.00043320655822753906,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042700767517089844,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00042724609375,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00042748451232910156,0.0,23
0.875,0,0.5,0.6875,0,0.0,0.0004305839538574219,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.00043272972106933594,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00043010711669921875,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004322528839111328,0.0,15
1.0,1,1.0,0.875,0,0.5,0.0004317760467529297,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0005958080291748047,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.0004467964172363281,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0006439685821533203,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00047206878662109375,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0005311965942382812,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004551410675048828,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.0004324913024902344,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042510032653808594,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004215240478515625,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00042891502380371094,0.0,23
0.875,0,0.5,0.75,0,0.0,0.0004248619079589844,0.0,14
0.9375,0,0.5,0.75,0,0.0,0.00043010711669921875,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004241466522216797,0.0,42
0.9375,0,0.5,0.8125,0,0.0,0.00042438507080078125,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00043010711669921875,0.0,23
0.9375,0,0.5,0.8125,0,0.0,0.00042700767517089844,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004279613494873047,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042939186096191406,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00043320655822753906,0.0,15
0.8125,0,0.0,0.8125,0,0.0,0.00043082237243652344,0.0,23
1.0,1,1.0,1.0,1,1.0,0.00042057037353515625,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.00042724609375,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042939186096191406,0.0,42
0.875,0,0.5,0.8125,0,0.0,0.00042700767517089844,0.0,15
0.875,0,0.5,0.75,0,0.5,0.0004279613494873047,0.0,23
1.0,1,1.0,1.0,1,1.0,0.00042891502380371094,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.00042629241943359375,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.00042629241943359375,0.0,42
1.0,1,1.0,0.875,0,0.5,0.00041985511779785156,0.0,15
0.9375,0,0.5,0.8125,0,0.5,0.0004279613494873047,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004291534423828125,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.0005762577056884766,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.0005929470062255859,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0005526542663574219,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004353523254394531,0.0,23
1.0,1,1.0,1.0,1,1.0,0.00043201446533203125,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004253387451171875,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.00042128562927246094,0.0,42
0.875,0,0.5,0.75,0,0.5,0.00043392181396484375,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004241466522216797,0.0,23
1.0,1,1.0,1.0,1,1.0,0.00042724609375,0.0,14
