bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,latency,noise,message
0.9375,0,0.5,1.0,1,1.0,0.00043392181396484375,0.0,14
1.0,1,1.0,1.0,1,1.0,0.00043010711669921875,0.0,06
0.875,0,0.0,0.875,0,0.0,0.0004260540008544922,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004925727844238281,0.0,15
0.9375,0,0.5,0.9375,0,0.5,0.0005741119384765625,0.0,23
0.8125,0,0.5,0.8125,0,0.5,0.00044989585876464844,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004942417144775391,0.0,06
0.8125,0,0.0,0.9375,0,0.5,0.0005273818969726562,0.0,42
0.75,0,0.0,0.75,0,0.0,0.0005221366882324219,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.00043892860412597656,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.00043463706970214844,0.0,14
0.8125,0,0.0,0.8125,0,0.0,0.0004343986511230469,0.0,06
0.8125,0,0.0,0.9375,0,0.5,0.0004324913024902344,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004324913024902344,0.0,15
0.75,0,0.0,0.75,0,0.0,0.0004329681396484375,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.0004379749298095703,0.0,14
1.0,1,1.0,1.0,1,1.0,0.00042629241943359375,0.0,06
0.9375,0,0.5,0.875,0,0.5,0.0004432201385498047,0.0,42
0.875,0,0.5,0.875,0,0.5,0.0004343986511230469,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.00043487548828125,0.0,23
0.625,0,0.0,0.875,0,0.5,0.0004322528839111328,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004336833953857422,0.0,06
0.8125,0,0.0,0.9375,0,0.5,0.00043129920959472656,0.0,42
0.875,0,0.5,0.875,0,0.5,0.000438690185546875,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004298686981201172,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.0004277229309082031,0.0,14
0.5,0,0.0,0.8125,0,0.5,0.0004317760467529297,0.0,06
0.9375,0,0.5,0.875,0,0.5,0.0004279613494873047,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00042629241943359375,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004379749298095703,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.00043463706970214844,0.0,14
1.0,1,1.0,1.0,1,1.0,0.00043654441833496094,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00043392181396484375,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004324913024902344,0.0,15
0.6875,0,0.0,0.6875,0,0.0,0.0004558563232421875,0.0,23
0.875,0,0.5,0.875,0,0.5,0.0005693435668945312,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004584789276123047,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004248619079589844,0.0,42
1.0,1,1.0,0.9375,0,0.5,0.00045299530029296875,0.0,15
0.8125,0,0.5,0.875,0,0.5,0.00044989585876464844,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.00043129920959472656,0.0,14
0.8125,0,0.5,0.875,0,0.5,0.0004305839538574219,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004515647888183594,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00045108795166015625,0.0,15
0.9375,0,0.5,0.9375,0,0.5,0.00044918060302734375,0.0,23
0.5,0,0.0,0.8125,0,0.0,0.00043892860412597656,0.0,14
0.875,0,0.5,0.875,0,0.5,0.00043511390686035156,0.0,06
0.8125,0,0.0,0.9375,0,0.5,0.0004405975341796875,0.0,42
0.875,0,0.5,0.875,0,0.5,0.00043511390686035156,0.0,15
0.9375,0,0.5,0.9375,0,0.5,0.0004341602325439453,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.0004398822784423828,0.0,14
0.5,0,0.0,0.8125,0,0.5,0.000431060791015625,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00043892860412597656,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00043964385986328125,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.00043582916259765625,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0004405975341796875,0.0,14
0.875,0,0.5,0.875,0,0.5,0.000431060791015625,0.0,06
0.8125,0,0.0,0.9375,0,0.5,0.0004367828369140625,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00044345855712890625,0.0,15
0.8125,0,0.5,0.875,0,0.5,0.00043463706970214844,0.0,23
