bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,hmm_bit_acc,hmm_msg_acc,hmm_msg_similarity,fb_bit_acc,fb_msg_acc,fb_msg_similarity,med_bit_acc,med_msg_acc,med_msg_similarity,latency,noise,message
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5625,0,0.0,0.0004391670227050781,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.000438690185546875,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043845176696777344,0.0,01
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.3125,0,0.0,0.00043487548828125,0.0,23
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.625,0,0.0,0.00043773651123046875,0.0,49
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.4375,0,0.0,0.0004360675811767578,0.0,78
0.9375,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.6875,0,0.0,0.0004336833953857422,0.0,65
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.00043964385986328125,0.0,01
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.3125,0,0.0,0.00042724609375,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.625,0,0.0,0.0004830360412597656,0.0,49
0.8125,0,0.0,0.75,0,0.5,0.75,0,0.5,0.75,0,0.5,0.5625,0,0.0,0.0005338191986083984,0.0,78
0.9375,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.5,0,0.0,0.0005044937133789062,0.0,65
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.6875,0,0.0,0.00047397613525390625,0.0,01
0.875,0,0.5,0.6875,0,0.0,0.6875,0,0.0,0.6875,0,0.0,0.6875,0,0.0,0.00044345855712890625,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.0004291534423828125,0.0,49
0.875,0,0.0,0.875,0,0.0,0.75,0,0.0,0.75,0,0.0,0.25,0,0.0,0.0004394054412841797,0.0,78
0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.6875,0,0.0,0.0004508495330810547,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00044035911560058594,0.0,01
1.0,1,1.0,0.875,0,0.5,0.75,0,0.0,0.75,0,0.0,0.5,0,0.0,0.00044345855712890625,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.00043964385986328125,0.0,49
0.9375,0,0.5,0.9375,0,0.5,0.8125,0,0.0,0.9375,0,0.5,0.3125,0,0.0,0.0004398822784423828,0.0,78
0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.6875,0,0.0,0.0004336833953857422,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004341602325439453,0.0,01
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.3125,0,0.0,0.0004367828369140625,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.625,0,0.0,0.0004334449768066406,0.0,49
0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.4375,0,0.0,0.00043511390686035156,0.0,78
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.6875,0,0.0,0.0005190372467041016,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00044465065002441406,0.0,01
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.3125,0,0.0,0.00043654441833496094,0.0,23
0.9375,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.8125,0,0.5,0.625,0,0.0,0.000431060791015625,0.0,49
1.0,1,1.0,0.875,0,0.5,0.75,0,0.0,0.875,0,0.5,0.5625,0,0.0,0.0004360675811767578,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00043845176696777344,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004374980926513672,0.0,01
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.3125,0,0.0,0.000431060791015625,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.00043511390686035156,0.0,49
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.4375,0,0.0,0.0004355907440185547,0.0,78
0.9375,0,0.5,0.8125,0,0.0,0.8125,0,0.0,0.8125,0,0.0,0.625,0,0.0,0.00043964385986328125,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004379749298095703,0.0,01
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.3125,0,0.0,0.0004355907440185547,0.0,23
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.625,0,0.0,0.00043582916259765625,0.0,49
0.8125,0,0.0,0.75,0,0.5,0.75,0,0.5,0.75,0,0.5,0.5625,0,0.0,0.00043129920959472656,0.0,78
0.9375,0,0.5,0.8125,0,0.0,0.8125,0,0.0,0.8125,0,0.0,0.4375,0,0.0,0.00043773651123046875,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00044083595275878906,0.0,01
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5,0,0.0,0.0005176067352294922,0.0,23
0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.875,0,0.0,0.5,0,0.0,0.00044608116149902344,0.0,49
1.0,1,1.0,1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.4375,0,0.0,0.00043845176696777344,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004341602325439453,0.0,65
